Month,BTC-USD,ETH-USD,ADA-USD,MATIC-USD,LINK-USD,SOL-USD,AVAX-USD,^GSPC,^IXIC,^RUT,^FTSE,^N225,^GDAXI,QQQ,VTI,VNQ,GC=F,SI=F,CL=F,HG=F,NG=F
2014-01,,,,,,,,1782.59,4103.88,1130.88,6510.4,14914.53,9306.48,78.14,75.61,41.4,1240.1,19.1,97.49,3.22,4.94
2014-02,,,,,,,,1859.45,4308.12,1183.03,6809.7,14841.07,9692.08,81.82,79.29,43.5,1321.4,21.2,102.59,3.24,4.61
2014-03,,,,,,,,1872.34,4198.99,1173.04,6598.4,14827.83,9555.91,79.74,79.35,43.43,1283.4,19.73,101.58,3.05,4.37
2014-04,,,,,,,,1883.95,4114.56,1126.86,6780.0,14304.11,9603.23,79.66,79.74,45.15,1295.6,19.12,99.74,3.03,4.82
2014-05,,,,,,,,1923.57,4242.62,1134.5,6844.5,14632.38,9943.27,83.24,81.42,46.23,1245.6,18.65,102.71,3.14,4.54
2014-06,,,,,,,,1960.23,4408.18,1192.96,6743.9,15162.1,9833.07,85.61,83.21,46.32,,,,,
2014-07,,,,,,,,1930.67,4369.77,1120.07,6730.1,15620.77,9407.48,86.85,81.89,46.79,1281.3,20.37,98.17,3.22,3.84
2014-08,,,,,,,,2003.37,4580.27,1174.35,6819.8,15424.59,9470.17,91.2,85.28,48.22,1285.8,19.4,95.96,3.13,4.07
2014-09,386.94,,,,,,,1972.29,4493.39,1101.68,6622.7,16173.52,9474.3,90.3,83.12,44.89,1210.5,17.01,91.16,3.01,4.12
2014-10,338.32,,,,,,,2018.05,4630.74,1173.51,6546.5,16413.76,9326.87,92.9,85.79,49.81,1171.1,16.08,80.54,3.06,3.87
2014-11,378.05,,,,,,,2067.56,4791.63,1173.23,6722.6,17459.85,9980.85,97.13,87.92,50.8,1175.2,15.49,66.15,2.86,4.09
2014-12,320.19,,,,,,,2058.9,4736.05,1204.7,6566.1,17450.77,9805.55,94.6,87.42,51.07,1183.9,15.56,53.27,2.84,2.89
2015-01,217.46,,,,,,,1994.99,4635.24,1165.39,6749.4,17674.39,10694.32,92.97,85.48,55.32,1278.5,17.19,48.24,2.53,2.69
2015-02,254.26,,,,,,,2104.5,4963.53,1233.37,6946.7,18797.94,11401.66,99.69,90.39,53.28,,,,,
2015-03,244.22,,,,,,,2067.89,4900.88,1252.77,6773.0,19206.99,11966.17,97.11,88.92,53.89,,,,,
2015-04,236.15,,,,,,,2085.51,4941.42,1220.13,6960.6,19520.01,11454.38,99.21,89.89,51.04,1182.4,16.12,59.63,2.89,2.75
2015-05,230.19,,,,,,,2107.39,5070.03,1246.53,6984.4,20563.15,11413.82,101.44,91.05,50.88,1189.4,16.68,60.3,2.76,2.64
2015-06,263.07,,,,,,,2063.11,4986.87,1253.95,6521.0,20235.73,10944.97,98.69,89.14,48.02,1171.5,15.55,59.47,2.62,2.83
2015-07,284.65,,,,,,,2103.84,5128.28,1238.68,6696.3,20585.24,11308.99,103.42,91.05,51.31,1094.9,14.75,47.12,2.37,2.72
2015-08,230.06,,,,,,,1972.18,4776.51,1159.45,6247.9,18890.48,10259.46,96.37,85.5,48.08,1131.6,14.58,49.2,2.34,2.69
2015-09,236.06,,,,,,,1920.03,4620.16,1100.69,6061.6,17388.15,9660.44,94.01,82.58,49.06,1115.5,14.51,45.09,2.35,2.52
2015-10,314.17,,,,,,,2079.36,5053.75,1161.86,6361.1,19083.1,10850.14,104.95,89.57,52.4,1141.5,15.57,46.59,2.31,2.32
2015-11,377.32,,,,,,,2080.41,5108.67,1198.11,6356.1,19747.47,11382.23,105.59,90.11,52.08,,,,,
2015-12,430.57,,,,,,,2043.94,5007.41,1135.89,6242.3,19033.71,10743.01,103.59,87.7,52.3,1060.3,13.77,37.04,2.13,2.34
2016-01,368.77,,,,,,,1940.24,4613.95,1035.38,6083.8,17518.3,9798.11,96.73,83.15,51.21,1116.4,14.23,33.62,2.06,2.3
2016-02,437.7,,,,,,,1932.23,4557.95,1033.9,6097.1,16026.76,9495.4,95.21,83.14,51.02,1233.9,14.9,33.75,2.13,1.71
2016-03,416.73,,,,,,,2059.74,4869.85,1114.03,6174.9,16758.67,9965.51,101.44,88.64,55.74,1234.2,15.46,38.34,2.18,1.96
2016-04,448.32,,,,,,,2065.3,4775.36,1130.85,6241.9,16666.05,10038.97,98.5,89.64,55.04,1289.2,17.79,45.92,2.28,2.18
2016-05,531.39,,,,,,,2096.95,4948.05,1154.79,6230.8,17234.98,10262.74,102.8,91.19,56.27,,,,,
2016-06,673.34,,,,,,,2098.86,4842.67,1151.92,6504.3,15575.92,9680.09,100.19,91.04,59.64,1318.4,18.58,48.33,2.19,2.92
2016-07,624.68,,,,,,,2173.6,5162.13,1219.94,6724.4,16569.27,10337.5,107.64,95.08,62.74,1349.0,20.31,41.6,2.22,2.88
2016-08,575.47,,,,,,,2170.95,5213.22,1239.91,6781.5,16887.4,10592.69,108.77,95.27,60.38,1306.9,18.62,44.7,2.07,2.89
2016-09,609.73,,,,,,,2168.27,5312.0,1251.65,6899.3,16449.84,10511.02,110.9,95.0,58.86,1313.3,19.14,48.24,2.2,2.91
2016-10,700.97,,,,,,,2126.15,5189.14,1191.39,6954.2,17425.02,10665.01,109.56,93.37,55.87,1271.5,17.76,46.86,2.2,3.03
2016-11,745.69,,,,,,,2198.81,5323.68,1322.34,6783.8,18308.48,10640.3,110.04,97.56,54.93,1170.8,16.41,49.44,2.62,3.35
2016-12,963.74,,,,,,,2238.83,5383.12,1357.13,7142.8,19114.37,11481.06,110.96,98.88,56.39,1150.0,15.94,53.72,2.5,3.72
2017-01,970.4,,,,,,,2278.87,5614.79,1361.82,7099.2,19041.34,11535.31,117.01,101.35,57.46,,,,,
2017-02,1179.97,,,,,,,2363.64,5825.44,1386.68,7263.4,19118.99,11834.41,122.12,105.09,59.48,1252.6,18.42,54.01,2.7,2.77
2017-03,1071.79,,,,,,,2362.72,5911.74,1385.92,7322.9,18909.26,12312.87,124.34,104.68,57.62,1247.3,18.24,50.6,2.65,3.19
2017-04,1347.89,,,,,,,2384.2,6047.61,1400.43,7203.9,19196.74,12438.01,128.0,106.27,58.18,1266.1,17.19,49.33,2.6,3.28
2017-05,2286.41,,,,,,,2411.8,6198.52,1370.21,7520.0,19650.57,12615.06,132.99,107.34,57.76,1272.0,17.37,48.32,2.58,3.07
2017-06,2480.84,,,,,,,2423.41,6140.42,1415.36,7312.7,20033.43,12325.12,129.55,107.86,58.49,1240.7,16.57,46.04,2.7,3.04
2017-07,2875.34,,,,,,,2470.3,6348.12,1425.14,7372.0,19925.18,12118.25,135.18,110.4,59.78,1266.6,16.75,50.17,2.89,2.79
2017-08,4703.39,,,,,,,2471.65,6428.66,1405.28,7430.6,19646.24,12055.84,137.98,110.56,59.62,1316.2,17.48,47.23,3.08,3.04
2017-09,4338.71,,,,,,,2519.36,6495.96,1490.86,7372.8,20356.28,12828.86,137.27,112.77,58.95,1281.5,16.61,51.67,2.94,3.01
2017-10,6468.4,,,,,,,2575.26,6727.67,1502.53,7493.1,22011.61,13229.57,143.91,115.72,58.92,,,,,
2017-11,10233.6,447.11,0.12,,0.17,,,2647.58,6873.97,1544.14,7326.7,22724.96,13023.98,146.75,119.22,60.49,1273.2,16.38,57.4,3.04,3.03
2017-12,14156.4,756.73,0.72,,0.6,,,2673.61,6903.39,1535.51,7687.8,22764.94,12917.64,147.33,120.02,59.48,1306.3,17.06,60.42,3.28,2.95
2018-01,10221.1,1118.31,0.52,,0.62,,,2823.81,7411.48,1574.98,7533.6,23098.29,13189.48,160.56,126.92,57.83,1339.0,17.2,64.73,3.18,2.99
2018-02,10397.9,855.2,0.31,,0.66,,,2713.83,7273.01,1512.45,7231.9,22068.24,12435.85,158.49,122.15,53.39,1315.5,16.32,61.64,3.11,2.67
2018-03,6973.53,396.46,0.16,,0.28,,,2640.87,7063.45,1529.43,7056.6,21454.3,12096.73,151.78,119.26,54.93,1322.8,16.22,64.94,3.02,2.73
2018-04,9240.55,669.92,0.34,,0.54,,,2648.05,7066.27,1541.88,7509.3,22467.87,12612.11,152.79,120.29,55.92,,,,,
2018-05,7494.17,577.65,0.23,,0.34,,,2705.27,7442.12,1633.61,7678.2,22201.82,12604.89,161.46,123.56,57.98,1300.1,16.4,67.04,3.06,2.95
2018-06,6404.0,455.18,0.14,,0.23,,,2718.37,7510.3,1643.07,7636.9,22304.51,12306.0,162.96,123.9,59.86,1251.3,16.1,74.15,2.95,2.92
2018-07,7780.44,433.87,0.14,,0.29,,,2816.29,7671.79,1670.8,7748.8,22553.72,12805.5,167.88,128.56,60.78,,,,,
2018-08,7037.58,283.0,0.1,,0.33,,,2901.52,8109.54,1740.75,7432.4,22865.15,12364.06,177.58,132.97,62.34,1200.3,14.44,69.8,2.65,2.92
2018-09,6625.56,232.85,0.09,,0.33,,,2913.98,8046.35,1696.57,7510.2,24120.04,12246.73,176.76,132.6,59.84,1191.5,14.62,73.25,2.79,3.01
2018-10,6317.61,197.38,0.07,,0.51,,,2711.74,7305.9,1511.41,7128.1,21920.46,11447.51,161.86,123.36,58.91,1212.3,14.23,65.31,2.66,3.26
2018-11,4017.27,113.17,0.04,,0.32,,,2760.17,7330.54,1533.27,6980.2,22351.06,11257.24,161.43,125.84,61.66,1220.2,14.09,50.93,2.78,4.61
2018-12,3742.7,133.37,0.04,,0.29,,,2506.85,6635.28,1348.56,6728.1,20014.77,10558.96,147.03,113.63,56.09,1278.3,15.43,45.41,2.63,2.94
2019-01,3457.79,107.06,0.04,,0.39,,,2704.1,7281.74,1499.42,6968.9,20773.49,11173.1,160.73,124.06,63.48,1319.7,16.02,53.79,2.79,2.81
2019-02,3854.79,136.75,0.04,,0.43,,,2784.49,7532.53,1575.55,7074.7,21385.16,11515.64,165.54,128.47,63.93,1312.8,15.54,57.22,2.95,2.81
2019-03,4105.4,141.51,0.07,,0.51,,,2834.4,7729.32,1539.74,7279.2,21205.81,11526.04,171.73,129.59,66.15,1293.0,15.06,60.14,2.94,2.66
2019-04,5350.73,162.17,0.07,0.0,0.47,,,2945.83,8095.39,1591.21,7418.2,22258.73,12344.08,181.5,135.4,66.51,1282.8,14.9,63.91,2.9,2.58
